,Date,Variable,Value
0,01/01/2018,other,0.1
1,02/01/2018,other,0.1
2,03/01/2018,other,0.2
3,03/01/2018,other,0.1
4,04/01/2018,other,0.2
5,04/01/2018,other,0.3
6,05/01/2018,other,0.3
7,05/01/2018,other,0.2
8,06/01/2018,other,0.2
9,06/01/2018,other,0.3
10,07/01/2018,other,0.1
11,08/01/2018,other,0.3
12,08/01/2018,other,0.2
13,08/01/2018,other,0.4
14,09/01/2018,other,0.2
15,09/01/2018,other,0.3
16,09/01/2018,other,0.4
17,10/01/2018,other,0.2
18,11/01/2018,other,0.1
19,12/01/2018,other,0.012
20,12/01/2018,other,0.05
21,13/01/2018,other,0.1
22,13/01/2018,other,0.22
23,14/01/2018,other,0.1
24,15/01/2018,other,0.1
25,16/01/2018,other,0.1
26,16/01/2018,other,0.2
27,17/01/2018,other,0.1
28,17/01/2018,other,0.2
29,18/01/2018,other,0.1
30,18/01/2018,other,0.21
31,18/01/2018,other,0.41
32,19/01/2018,other,0.57
33,19/01/2018,other,0.4
34,19/01/2018,other,0.3
35,20/01/2018,other,0.3
36,20/01/2018,other,0.4
37,20/01/2018,other,0.5
38,21/01/2018,other,0.1
39,22/01/2018,other,0.2
40,22/01/2018,other,0.52
41,22/01/2018,other,0.25
42,23/01/2018,other,0.21
43,23/01/2018,other,0.2
44,23/01/2018,other,0.1
45,24/01/2018,other,0.1
46,24/01/2018,other,0.2
47,25/01/2018,other,0.1
48,25/01/2018,other,0.2
49,26/01/2018,other,0.2
50,26/01/2018,other,0.1
51,27/01/2018,other,0.2
52,28/01/2018,other,0.1
53,29/01/2018,other,0.2
54,30/01/2018,other,0.2
55,31/01/2018,other,0.2
56,31/01/2018,other,0.1
57,01/02/2018,other,0.1
58,02/02/2018,other,0.1
59,03/02/2018,other,0.012
60,03/02/2018,other,0.1
61,04/02/2018,other,0.1
62,05/02/2018,other,0.1
63,06/02/2018,other,0.1
64,06/02/2018,other,0.012
65,07/02/2018,other,0.012
66,07/02/2018,other,0.1
67,08/02/2018,other,0.1
68,09/02/2018,other,0.1
69,10/02/2018,other,0.1
70,10/02/2018,other,0.2
71,11/02/2018,other,0.1
72,12/02/2018,other,0.1
73,12/02/2018,other,0.12
74,12/02/2018,other,0.2
75,13/02/2018,other,0.1
76,13/02/2018,other,0.2
77,14/02/2018,other,0.1
78,15/02/2018,other,0.1
79,15/02/2018,other,0.012
80,16/02/2018,other,0.012
81,16/02/2018,other,0.1
82,17/02/2018,other,0.1
83,18/02/2018,other,0.1
84,19/02/2018,other,0.012
85,19/02/2018,other,0.1
86,20/02/2018,other,0.1
87,21/02/2018,other,0.1
88,22/02/2018,other,0.012
89,22/02/2018,other,0.1
90,23/02/2018,other,0.1
91,24/02/2018,other,0.1
92,25/02/2018,other,0.1
93,26/02/2018,other,0.1
94,27/02/2018,other,0.1
95,27/02/2018,other,0.012
96,28/02/2018,other,0.012
97,28/02/2018,other,0.1
98,01/03/2018,other,0.012
99,01/03/2018,other,0.1
100,02/03/2018,other,0.012
101,03/03/2018,other,0.012
102,03/03/2018,other,0.1
103,04/03/2018,other,0.1
104,05/03/2018,other,0.1
105,06/03/2018,other,0.1
106,07/03/2018,other,0.1
107,07/03/2018,other,0.012
108,08/03/2018,other,0.1
109,09/03/2018,other,0.1
110,10/03/2018,other,0.1
111,10/03/2018,other,0.2
112,11/03/2018,other,0.1
113,12/03/2018,other,0.012
114,13/03/2018,other,0.012
115,13/03/2018,other,0.1
116,14/03/2018,other,0.012
117,15/03/2018,other,0.012
118,15/03/2018,other,0.1
119,16/03/2018,other,0.012
120,17/03/2018,other,0.012
121,17/03/2018,other,0.1
122,18/03/2018,other,0.1
123,19/03/2018,other,0.012
124,19/03/2018,other,0.1
125,20/03/2018,other,0.1
126,21/03/2018,other,0.1
127,22/03/2018,other,0.1
128,23/03/2018,other,0.1
129,24/03/2018,other,0.1
130,25/03/2018,other,0.1
131,26/03/2018,other,0.1
132,26/03/2018,other,0.012
133,27/03/2018,other,0.012
134,28/03/2018,other,0.012
135,28/03/2018,other,0.1
136,29/03/2018,other,0.012
137,29/03/2018,other,0.1
138,30/03/2018,other,0.012
139,30/03/2018,other,0.1
140,31/03/2018,other,0.1
141,01/04/2018,other,0.1
142,02/04/2018,other,0.012
143,02/04/2018,other,0.1
144,03/04/2018,other,0.1
145,04/04/2018,other,0.1
146,05/04/2018,other,0.1
147,05/04/2018,other,0.2
148,06/04/2018,other,0.2
149,06/04/2018,other,0.1
150,07/04/2018,other,0.1
151,08/04/2018,other,0.1
152,09/04/2018,other,0.1
153,10/04/2018,other,0.012
154,10/04/2018,other,0.1
155,11/04/2018,other,0.012
156,12/04/2018,other,0.1
157,13/04/2018,other,0.1
158,13/04/2018,other,0.17
159,13/04/2018,other,0.12
160,14/04/2018,other,0.1
161,14/04/2018,other,0.2
162,15/04/2018,other,0.1
163,16/04/2018,other,0.1
164,16/04/2018,other,0.012
165,17/04/2018,other,0.1
166,18/04/2018,other,0.012
167,19/04/2018,other,0.012
168,19/04/2018,other,0.1
169,20/04/2018,other,0.1
170,21/04/2018,other,0.1
171,22/04/2018,other,0.1
172,23/04/2018,other,0.1
173,24/04/2018,other,0.1
174,24/04/2018,other,0.2
175,25/04/2018,other,0.1
176,25/04/2018,other,0.012
177,26/04/2018,other,0.012
178,27/04/2018,other,0.012
179,27/04/2018,other,0.1
180,28/04/2018,other,0.2
181,28/04/2018,other,0.1
182,29/04/2018,other,0.1
183,30/04/2018,other,0.1
184,01/05/2018,other,0.1
185,02/05/2018,other,0.012
186,02/05/2018,other,0.1
187,03/05/2018,other,0.1
188,03/05/2018,other,0.12
189,04/05/2018,other,0.1
190,05/05/2018,other,0.1
191,05/05/2018,other,0.06
192,06/05/2018,other,0.1
193,07/05/2018,other,0.1
194,08/05/2018,other,0.12
195,08/05/2018,other,0.012
196,09/05/2018,other,0.1
197,10/05/2018,other,0.06
198,10/05/2018,other,0.12
199,10/05/2018,other,0.24
200,11/05/2018,other,0.12
201,11/05/2018,other,0.17
202,12/05/2018,other,0.06
203,13/05/2018,other,0.1
204,14/05/2018,other,0.1
205,14/05/2018,other,0.23
206,14/05/2018,other,0.06
207,15/05/2018,other,0.12
208,15/05/2018,other,0.24
209,15/05/2018,other,0.06
210,16/05/2018,other,0.06
211,17/05/2018,other,0.24
212,17/05/2018,other,0.29
213,17/05/2018,other,0.06
214,18/05/2018,other,0.17
215,18/05/2018,other,0.06
216,18/05/2018,other,0.18
217,19/05/2018,other,0.06
218,20/05/2018,other,0.1
219,21/05/2018,other,0.06
220,21/05/2018,other,0.35
221,21/05/2018,other,0.41
222,22/05/2018,other,0.12
223,22/05/2018,other,0.18
224,22/05/2018,other,0.24
225,23/05/2018,other,0.41
226,23/05/2018,other,0.06
227,23/05/2018,other,0.12
228,24/05/2018,other,0.06
229,24/05/2018,other,0.12
230,25/05/2018,other,0.12
231,25/05/2018,other,0.1
232,26/05/2018,other,0.2
233,26/05/2018,other,0.1
234,27/05/2018,other,0.1
235,28/05/2018,other,0.2
236,28/05/2018,other,0.012
237,29/05/2018,other,0.1
238,30/05/2018,other,0.1
239,30/05/2018,other,0.2
240,31/05/2018,other,0.1
241,01/06/2018,other,0.06
242,01/06/2018,other,0.1
243,02/06/2018,other,0.1
244,02/06/2018,other,0.2
245,03/06/2018,other,0.1
246,04/06/2018,other,0.1
247,05/06/2018,other,0.1
248,05/06/2018,other,0.2
249,06/06/2018,other,0.1
250,07/06/2018,other,0.2
251,07/06/2018,other,0.1
252,08/06/2018,other,0.1
253,09/06/2018,other,0.1
254,10/06/2018,other,0.1
255,11/06/2018,other,0.1
256,11/06/2018,other,0.2
257,12/06/2018,other,0.2
258,12/06/2018,other,0.1
259,13/06/2018,other,0.1
260,14/06/2018,other,0.1
261,14/06/2018,other,0.2
262,14/06/2018,other,0.012
263,15/06/2018,other,0.012
264,15/06/2018,other,0.1
265,15/06/2018,other,0.2
266,16/06/2018,other,0.2
267,16/06/2018,other,0.3
268,16/06/2018,other,0.1
269,17/06/2018,other,0.1
270,18/06/2018,other,0.2
271,18/06/2018,other,0.1
272,19/06/2018,other,0.1
273,20/06/2018,other,0.1
274,20/06/2018,other,0.2
275,21/06/2018,other,0.1
276,22/06/2018,other,0.1
277,22/06/2018,other,0.2
278,23/06/2018,other,0.1
279,23/06/2018,other,0.2
280,24/06/2018,other,0.1
281,25/06/2018,other,0.1
282,25/06/2018,other,0.2
283,26/06/2018,other,0.1
284,27/06/2018,other,0.1
285,28/06/2018,other,0.1
286,29/06/2018,other,0.1
287,29/06/2018,other,0.3
288,30/06/2018,other,0.1
289,30/06/2018,other,0.2
290,01/07/2018,other,0.1
291,02/07/2018,other,0.012
292,03/07/2018,other,0.012
293,03/07/2018,other,0.06
294,04/07/2018,other,0.06
295,04/07/2018,other,0.1
296,05/07/2018,other,0.1
297,05/07/2018,other,0.24
298,05/07/2018,other,0.18
299,06/07/2018,other,0.1
300,07/07/2018,other,0.18
301,07/07/2018,other,0.24
302,07/07/2018,other,0.06
303,08/07/2018,other,0.1
304,09/07/2018,other,0.1
305,09/07/2018,other,0.25
306,09/07/2018,other,0.31
307,10/07/2018,other,0.48
308,10/07/2018,other,0.32
309,10/07/2018,other,0.25
310,11/07/2018,other,0.12
311,11/07/2018,other,0.06
312,11/07/2018,other,0.18
313,12/07/2018,other,0.18
314,12/07/2018,other,0.24
315,12/07/2018,other,0.12
316,13/07/2018,other,0.24
317,13/07/2018,other,0.12
318,13/07/2018,other,0.18
319,14/07/2018,other,0.06
320,14/07/2018,other,0.18
321,15/07/2018,other,0.1
322,16/07/2018,other,0.012
323,16/07/2018,other,0.12
324,16/07/2018,other,0.31
